@code{.c}
================================================
  NLOC    CCN   token  PARAM  length  location
      30      4    188      1      46 QF_gc@197-242@..\src\qf\qf_dyn.c
      20      3     99      2      30 QF_newRef_@246-275@..\src\qf\qf_dyn.c
      11      2     67      1      15 QF_deleteRef_@279-293@..\src\qf\qf_dyn.c
      32      5    233      4      46 QMPool_init@68-113@..\src\qf\qf_mem.c
      45      5    241      3      72 QMPool_get@117-188@..\src\qf\qf_mem.c
      19      3    117      3      25 QMPool_put@192-216@..\src\qf\qf_mem.c
       8      1     35      2      13 QActive_psInit@74-86@..\src\qf\qf_ps.c
      42      6    231      3      73 QActive_publish_@92-164@..\src\qf\qf_ps.c
      18      5    111      2      24 QActive_subscribe@170-193@..\src\qf\qf_ps.c
      18      5    111      2      24 QActive_unsubscribe@199-222@..\src\qf\qf_ps.c
      19      5    130      1      24 QActive_unsubscribeAll@228-251@..\src\qf\qf_ps.c
      10      2     46      2      10 QF_bzero@86-95@..\src\qf\qf_qact.c
      16      2     72      2      23 QActive_ctor@103-125@..\src\qf\qf_qact.c
      28     10    225      1      38 QActive_register_@131-168@..\src\qf\qf_qact.c
      10      3     79      1      11 QActive_unregister_@174-184@..\src\qf\qf_qact.c
      24      6    143      1      29 QF_LOG2@193-221@..\src\qf\qf_qact.c
      14      2     84      3      14 QEQueue_init@68-81@..\src\qf\qf_qeq.c
      57      8    301      4      77 QEQueue_post@85-161@..\src\qf\qf_qeq.c
      36      5    199      3      47 QEQueue_postLIFO@165-211@..\src\qf\qf_qeq.c
      38      4    219      2      50 QEQueue_get@215-264@..\src\qf\qf_qeq.c
      16      2     79      2      35 QMActive_ctor@75-109@..\src\qf\qf_qmact.c
      15      2     96      4      31 QTimeEvt_ctorX@79-109@..\src\qf\qf_time.c
      33      8    225      3      56 QTimeEvt_armX@113-168@..\src\qf\qf_time.c
      31      3    173      1      41 QTimeEvt_disarm@172-212@..\src\qf\qf_time.c
      36      8    230      2      61 QTimeEvt_rearm@216-276@..\src\qf\qf_time.c
       5      1     36      1       5 QTimeEvt_wasDisarmed@280-284@..\src\qf\qf_time.c
       7      1     30      1       8 QTimeEvt_currCtr@288-295@..\src\qf\qf_time.c
      69      7    380      2     111 QTimeEvt_tick_@299-409@..\src\qf\qf_time.c
      14      3     75      1      15 QTimeEvt_noActive@413-427@..\src\qf\qf_time.c
      21      2    112      1      30 QK_schedLock@72-101@..\src\qk\qk.c
      20      4    118      1      29 QK_schedUnlock@105-133@..\src\qk\qk.c
      11      3    101      1      23 QF_init@139-161@..\src\qk\qk.c
       3      1     10      1       4 QF_stop@165-168@..\src\qk\qk.c
      18      6     76      1      33 QF_run@172-204@..\src\qk\qk.c
      25      3    156      7      31 QActive_start_@212-242@..\src\qk\qk.c
      19      4     78      1      24 QK_sched_@252-275@..\src\qk\qk.c
      66     17    382      1     112 QK_activate_@279-390@..\src\qk\qk.c
       7      3     52      1      13 QF_init@74-86@..\src\qv\qv.c
       3      1     10      1       4 QF_stop@90-93@..\src\qv\qv.c
      46     15    251      1      97 QF_run@97-193@..\src\qv\qv.c
      18      1    124      7      22 QActive_start_@201-222@..\src\qv\qv.c
      23      3    131      1      33 QXK_schedLock@72-104@..\src\qxk\qxk.c
      19      3    115      1      28 QXK_schedUnlock@108-135@..\src\qxk\qxk.c
      12      3    110      1      24 QF_init@141-164@..\src\qxk\qxk.c
       3      1     10      1       4 QF_stop@168-171@..\src\qxk\qxk.c
      20      6     98      1      35 QF_run@175-209@..\src\qxk\qxk.c
      29      5    178      7      35 QActive_start_@217-251@..\src\qxk\qxk.c
      42      8    220      1      53 QXK_sched_@261-313@..\src\qxk\qxk.c
      59     16    377      1      95 QXK_activate_@317-411@..\src\qxk\qxk.c
      12      2     72      1      16 QXK_current@415-430@..\src\qxk\qxk.c
      19      5    105      1      26 QXK_contextSw@435-460@..\src\qxk\qxk.c
      13      2    104      1      18 QXK_threadExit_@468-485@..\src\qxk\qxk.c
      10      2     64      2      12 QXMutex_init@74-85@..\src\qxk\qxk_mutex.c
      79     11    701      2     130 QXMutex_lock@89-218@..\src\qxk\qxk_mutex.c
      57      9    483      1      89 QXMutex_tryLock@222-310@..\src\qxk\qxk_mutex.c
      74     12    622      1     122 QXMutex_unlock@314-435@..\src\qxk\qxk_mutex.c
       9      1     51      3      10 QXSemaphore_init@74-83@..\src\qxk\qxk_sema.c
      57      7    389      2      76 QXSemaphore_wait@87-162@..\src\qxk\qxk_sema.c
      28      3    139      1      37 QXSemaphore_tryWait@166-202@..\src\qxk\qxk_sema.c
      42      7    275      1      64 QXSemaphore_signal@206-269@..\src\qxk\qxk_sema.c
      21      2    113      3      26 QXThread_ctor@75-100@..\src\qxk\qxk_xthr.c
      21      4    195      1      31 QXThread_delay@104-134@..\src\qxk\qxk_xthr.c
      14      2     68      1      16 QXThread_delayCancel@138-153@..\src\qxk\qxk_xthr.c
      58      7    493      1      78 QXThread_queueGet@157-234@..\src\qxk\qxk_xthr.c
      10      1     39      3      11 QXThread_init_@238-248@..\src\qxk\qxk_xthr.c
      10      1     39      3      11 QXThread_dispatch_@252-262@..\src\qxk\qxk_xthr.c
      31      7    216      7      45 QXThread_start_@266-310@..\src\qxk\qxk_xthr.c
     100     15    527      4     140 QXThread_post_@314-453@..\src\qxk\qxk_xthr.c
       8      1     30      2       9 QXThread_postLIFO_@457-465@..\src\qxk\qxk_xthr.c
       5      1     49      1       6 QXThread_block_@469-474@..\src\qxk\qxk_xthr.c
       8      3     56      1       8 QXThread_unblock_@478-485@..\src\qxk\qxk_xthr.c
      20      3    157      3      38 QXThread_teArm_@489-526@..\src\qxk\qxk_xthr.c
      11      2     46      1      13 QXThread_teDisarm_@530-542@..\src\qxk\qxk_xthr.c
33 file analyzed.
==============================================================
NLOC    Avg.NLOC  AvgCCN  Avg.token  function_cnt    file
--------------------------------------------------------------
      6       0.0     0.0        0.0         0     ..\include\qassert.h
    132       3.0     1.0       16.0         1     ..\include\qep.h
     33       3.0     1.0       17.0         3     ..\include\qequeue.h
    226       7.0     2.6       64.2         8     ..\include\qf.h
     15       3.0     1.0       20.0         2     ..\include\qf_pkg.h
     16       0.0     0.0        0.0         0     ..\include\qk.h
     25       0.0     0.0        0.0         0     ..\include\qmpool.h
      7       0.0     0.0        0.0         0     ..\include\qpc.h
    361      14.0     3.0       67.0         1     ..\include\qs.h
      3       0.0     0.0        0.0         0     ..\include\qstamp.c
      2       0.0     0.0        0.0         0     ..\include\qstamp.h
      0       0.0     0.0        0.0         0     ..\include\qs_dummy.h
     19       0.0     0.0        0.0         0     ..\include\qs_pkg.h
      7       0.0     0.0        0.0         0     ..\include\qv.h
     93       0.0     0.0        0.0         0     ..\include\qxk.h
    364      31.8     5.3      184.8        11     ..\src\qf\qep_hsm.c
    347      33.3     5.6      195.1        10     ..\src\qf\qep_msm.c
      2       0.0     0.0        0.0         0     ..\src\qf\qf_act.c
    257      27.8     3.8      154.4         9     ..\src\qf\qf_actq.c
     69      20.7     2.3      107.0         3     ..\src\qf\qf_defer.c
    138      18.4     3.3      111.4         7     ..\src\qf\qf_dyn.c
    103      32.0     4.3      197.0         3     ..\src\qf\qf_mem.c
    114      21.0     4.4      123.6         5     ..\src\qf\qf_ps.c
     96      17.6     4.6      113.0         5     ..\src\qf\qf_qact.c
    152      36.2     4.8      200.8         4     ..\src\qf\qf_qeq.c
     18      16.0     2.0       79.0         1     ..\src\qf\qf_qmact.c
    218      26.2     4.1      155.6         8     ..\src\qf\qf_time.c
    191      22.9     5.0      129.1         8     ..\src\qk\qk.c
     81      18.5     5.0      109.2         4     ..\src\qv\qv.c
    259      22.8     4.9      138.2        11     ..\src\qxk\qxk.c
    227      55.0     8.5      467.5         4     ..\src\qxk\qxk_mutex.c
    143      34.0     4.5      213.5         4     ..\src\qxk\qxk_sema.c
    325      24.4     3.8      156.0        13     ..\src\qxk\qxk_xthr.c

=============================================================================================================
No thresholds exceeded (cyclomatic_complexity > 20 or length > 500 or nloc > 1000000 or parameter_count > 10)
==========================================================================================
Total nloc   Avg.NLOC  AvgCCN  Avg.token   Fun Cnt  Warning cnt   Fun Rt   nloc Rt
------------------------------------------------------------------------------------------
      4049      24.4     4.3      150.4      125            0      0.00    0.00
@endcode
